hhid,round,foodclassR7,s11q2c,s11q2d
1005,7,Fish and seafood,No,No
1005,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1005,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1005,7,Oils and fats,No,No
1005,7,Sweets,No,No
1005,7,"Spices, condiments, beverages",No,No
1006,7,None / Only water,No,
1006,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1006,7,White roots and tubers,No,
1006,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),Yes,
1006,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1006,7,"Other vegetables (e.g., cabbage)",No,
1006,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",Yes,
1006,7,"Other fruits (e.g., banana, watermelon)",No,
1006,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,
1006,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1006,7,Eggs,No,
1006,7,Fish and seafood,No,
1006,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1006,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1006,7,Oils and fats,Yes,
1006,7,Sweets,No,
1006,7,"Spices, condiments, beverages",No,
1007,7,None / Only water,No,
1007,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1007,7,White roots and tubers,Yes,
1007,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1007,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1007,7,"Other vegetables (e.g., cabbage)",No,
1007,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1007,7,"Other fruits (e.g., banana, watermelon)",No,
1007,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1007,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1007,7,Eggs,No,
1007,7,Fish and seafood,No,
1007,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1007,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1007,7,Oils and fats,Yes,
1007,7,Sweets,No,
1007,7,"Spices, condiments, beverages",No,
1008,7,None / Only water,No,
1008,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1008,7,White roots and tubers,No,
1008,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1008,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1008,7,"Other vegetables (e.g., cabbage)",No,
1008,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1008,7,"Other fruits (e.g., banana, watermelon)",No,
1008,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1008,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1008,7,Eggs,No,
1008,7,Fish and seafood,No,
1008,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1008,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1008,7,Oils and fats,Yes,
1008,7,Sweets,No,
1008,7,"Spices, condiments, beverages",No,
1009,7,None / Only water,No,
1009,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1009,7,White roots and tubers,Yes,
1009,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1009,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1009,7,"Other vegetables (e.g., cabbage)",No,
1009,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1009,7,"Other fruits (e.g., banana, watermelon)",No,
1009,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1009,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1009,7,Eggs,No,
1009,7,Fish and seafood,No,
1009,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1009,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
1009,7,Oils and fats,Yes,
1009,7,Sweets,No,
1009,7,"Spices, condiments, beverages",No,
1010,7,None / Only water,No,
1010,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1010,7,White roots and tubers,Yes,
1010,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1010,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1010,7,"Other vegetables (e.g., cabbage)",No,
1010,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1010,7,"Other fruits (e.g., banana, watermelon)",No,
1010,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1010,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1010,7,Eggs,No,
1010,7,Fish and seafood,No,
1010,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1010,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1010,7,Oils and fats,No,
1010,7,Sweets,No,
1010,7,"Spices, condiments, beverages",No,
1011,7,None / Only water,No,No
1011,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,No
1011,7,White roots and tubers,No,No
1011,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1011,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
1011,7,"Other vegetables (e.g., cabbage)",No,No
1011,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1011,7,"Other fruits (e.g., banana, watermelon)",No,No
1011,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1011,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1011,7,Eggs,No,No
1011,7,Fish and seafood,No,No
1011,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1011,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1011,7,Oils and fats,No,No
1011,7,Sweets,No,No
1011,7,"Spices, condiments, beverages",No,No
1012,7,None / Only water,No,No
1012,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1012,7,White roots and tubers,No,No
1012,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1012,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,Yes
1012,7,"Other vegetables (e.g., cabbage)",No,No
1012,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1012,7,"Other fruits (e.g., banana, watermelon)",No,No
1012,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1012,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1012,7,Eggs,No,No
1012,7,Fish and seafood,No,No
1012,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1012,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
1012,7,Oils and fats,Yes,Yes
1012,7,Sweets,No,No
1012,7,"Spices, condiments, beverages",No,No
1013,7,None / Only water,No,
1013,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1013,7,White roots and tubers,No,
1013,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1013,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1013,7,"Other vegetables (e.g., cabbage)",Yes,
1013,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1013,7,"Other fruits (e.g., banana, watermelon)",No,
1013,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,
1013,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
1013,7,Eggs,No,
1013,7,Fish and seafood,No,
1013,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1013,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1013,7,Oils and fats,Yes,
1013,7,Sweets,No,
1013,7,"Spices, condiments, beverages",No,
1014,7,None / Only water,No,
1014,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1014,7,White roots and tubers,Yes,
1014,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1014,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1014,7,"Other vegetables (e.g., cabbage)",No,
1014,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1014,7,"Other fruits (e.g., banana, watermelon)",Yes,
1014,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1014,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
1014,7,Eggs,No,
1014,7,Fish and seafood,No,
1014,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1014,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1014,7,Oils and fats,Yes,
1014,7,Sweets,Yes,
1014,7,"Spices, condiments, beverages",Yes,
1015,7,None / Only water,No,
1015,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1015,7,White roots and tubers,Yes,
1015,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1015,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1015,7,"Other vegetables (e.g., cabbage)",No,
1015,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1015,7,"Other fruits (e.g., banana, watermelon)",No,
1015,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1015,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1015,7,Eggs,No,
1015,7,Fish and seafood,No,
1015,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1015,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1015,7,Oils and fats,No,
1015,7,Sweets,No,
1015,7,"Spices, condiments, beverages",No,
1016,7,None / Only water,No,
1016,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1016,7,White roots and tubers,No,
1016,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1016,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1016,7,"Other vegetables (e.g., cabbage)",No,
1016,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1016,7,"Other fruits (e.g., banana, watermelon)",No,
1016,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1016,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1016,7,Eggs,No,
1016,7,Fish and seafood,No,
1016,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1016,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1016,7,Oils and fats,Yes,
1016,7,Sweets,No,
1016,7,"Spices, condiments, beverages",No,
1017,7,None / Only water,No,
1017,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1017,7,White roots and tubers,No,
1017,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1017,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1017,7,"Other vegetables (e.g., cabbage)",Yes,
1017,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1017,7,"Other fruits (e.g., banana, watermelon)",No,
1017,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,
1017,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
1017,7,Eggs,No,
1017,7,Fish and seafood,No,
1017,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1017,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1017,7,Oils and fats,Yes,
1017,7,Sweets,Yes,
1017,7,"Spices, condiments, beverages",No,
1018,7,None / Only water,No,
1018,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1018,7,White roots and tubers,Yes,
1018,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1018,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1018,7,"Other vegetables (e.g., cabbage)",No,
1018,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1018,7,"Other fruits (e.g., banana, watermelon)",No,
1018,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1018,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1018,7,Eggs,No,
1018,7,Fish and seafood,No,
1018,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1018,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1018,7,Oils and fats,Yes,
1018,7,Sweets,No,
1018,7,"Spices, condiments, beverages",Yes,
1019,7,None / Only water,No,No
1019,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1019,7,White roots and tubers,No,No
1019,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1019,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
1019,7,"Other vegetables (e.g., cabbage)",No,No
1019,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1019,7,"Other fruits (e.g., banana, watermelon)",No,No
1019,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1019,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,Yes
1019,7,Eggs,No,No
1019,7,Fish and seafood,No,No
1019,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,Yes
1019,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,No
1019,7,Oils and fats,Yes,Yes
1019,7,Sweets,No,No
1019,7,"Spices, condiments, beverages",No,No
1020,7,None / Only water,No,
1020,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1020,7,White roots and tubers,Yes,
1020,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1020,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1020,7,"Other vegetables (e.g., cabbage)",Yes,
1020,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",Yes,
1020,7,"Other fruits (e.g., banana, watermelon)",Yes,
1020,7,"Organ meat (e.g., liver, kidney, blood, etc.)",Yes,
1020,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1020,7,Eggs,Yes,
1020,7,Fish and seafood,No,
1020,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1020,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1020,7,Oils and fats,Yes,
1020,7,Sweets,No,
1020,7,"Spices, condiments, beverages",Yes,
1021,7,None / Only water,No,
1021,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1021,7,White roots and tubers,No,
1021,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1021,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,
1021,7,"Other vegetables (e.g., cabbage)",No,
1021,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1021,7,"Other fruits (e.g., banana, watermelon)",No,
1021,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1021,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1021,7,Eggs,No,
1021,7,Fish and seafood,No,
1021,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1021,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
1021,7,Oils and fats,No,
1021,7,Sweets,No,
1021,7,"Spices, condiments, beverages",No,
1022,7,None / Only water,No,No
1022,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1022,7,White roots and tubers,No,No
1022,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1022,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
1022,7,"Other vegetables (e.g., cabbage)",No,No
1022,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1022,7,"Other fruits (e.g., banana, watermelon)",No,No
1022,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1022,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1022,7,Eggs,No,No
1022,7,Fish and seafood,No,No
1022,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1022,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1022,7,Oils and fats,No,No
1022,7,Sweets,No,No
1022,7,"Spices, condiments, beverages",No,No
1023,7,None / Only water,No,No
1023,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1023,7,White roots and tubers,Yes,Yes
1023,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1023,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
1023,7,"Other vegetables (e.g., cabbage)",Yes,Yes
1023,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1023,7,"Other fruits (e.g., banana, watermelon)",No,No
1023,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1023,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,Yes
1023,7,Eggs,No,No
1023,7,Fish and seafood,No,No
1023,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1023,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1023,7,Oils and fats,Yes,Yes
1023,7,Sweets,No,No
1023,7,"Spices, condiments, beverages",No,No
1024,7,None / Only water,No,
1024,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1024,7,White roots and tubers,No,
1024,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1024,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1024,7,"Other vegetables (e.g., cabbage)",No,
1024,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1024,7,"Other fruits (e.g., banana, watermelon)",No,
1024,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1024,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1024,7,Eggs,No,
1024,7,Fish and seafood,No,
1024,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1024,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
1024,7,Oils and fats,No,
1024,7,Sweets,No,
1024,7,"Spices, condiments, beverages",No,
1025,7,None / Only water,No,No
1025,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,Yes
1025,7,White roots and tubers,No,No
1025,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,No
1025,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",No,No
1025,7,"Other vegetables (e.g., cabbage)",No,No
1025,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,No
1025,7,"Other fruits (e.g., banana, watermelon)",No,No
1025,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,No
1025,7,"Flesh meat (e.g., steak, chicken, etc.)",No,No
1025,7,Eggs,No,No
1025,7,Fish and seafood,No,No
1025,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,No
1025,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,Yes
1025,7,Oils and fats,Yes,Yes
1025,7,Sweets,No,Yes
1025,7,"Spices, condiments, beverages",No,No
1026,7,None / Only water,No,
1026,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1026,7,White roots and tubers,Yes,
1026,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1026,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1026,7,"Other vegetables (e.g., cabbage)",No,
1026,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",Yes,
1026,7,"Other fruits (e.g., banana, watermelon)",Yes,
1026,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1026,7,"Flesh meat (e.g., steak, chicken, etc.)",Yes,
1026,7,Eggs,No,
1026,7,Fish and seafood,No,
1026,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1026,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1026,7,Oils and fats,Yes,
1026,7,Sweets,No,
1026,7,"Spices, condiments, beverages",No,
1029,7,None / Only water,No,
1029,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1029,7,White roots and tubers,No,
1029,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1029,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1029,7,"Other vegetables (e.g., cabbage)",No,
1029,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1029,7,"Other fruits (e.g., banana, watermelon)",No,
1029,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1029,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1029,7,Eggs,No,
1029,7,Fish and seafood,No,
1029,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",Yes,
1029,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
1029,7,Oils and fats,Yes,
1029,7,Sweets,No,
1029,7,"Spices, condiments, beverages",No,
1031,7,None / Only water,No,
1031,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1031,7,White roots and tubers,Yes,
1031,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1031,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1031,7,"Other vegetables (e.g., cabbage)",No,
1031,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1031,7,"Other fruits (e.g., banana, watermelon)",No,
1031,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1031,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1031,7,Eggs,No,
1031,7,Fish and seafood,No,
1031,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1031,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",No,
1031,7,Oils and fats,Yes,
1031,7,Sweets,No,
1031,7,"Spices, condiments, beverages",No,
1032,7,None / Only water,No,
1032,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1032,7,White roots and tubers,No,
1032,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1032,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1032,7,"Other vegetables (e.g., cabbage)",No,
1032,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1032,7,"Other fruits (e.g., banana, watermelon)",No,
1032,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
1032,7,"Flesh meat (e.g., steak, chicken, etc.)",No,
1032,7,Eggs,No,
1032,7,Fish and seafood,No,
1032,7,"Legumes nuts and seeds (e.g., beans, green grams, peanuts)",No,
1032,7,"Milk and milk products (e.g., milk, ghee, cheese, yogurt, butter)\",Yes,
1032,7,Oils and fats,No,
1032,7,Sweets,No,
1032,7,"Spices, condiments, beverages",No,
1033,7,None / Only water,No,
1033,7,"Cereals (e.g., maize, sorgham, millet, bread, ugali, rice, spaghetti)",Yes,
1033,7,White roots and tubers,No,
1033,7,Vitamin A rich vegetables and tubers (colored yellow/orange/red),No,
1033,7,"Dark green leafy vegetables (e.g., sukuma, spinach, sweet potato leaves)",Yes,
1033,7,"Other vegetables (e.g., cabbage)",Yes,
1033,7,"Vitamin A rich fruits (e.g., paipai, mangoes, )",No,
1033,7,"Other fruits (e.g., banana, watermelon)",No,
1033,7,"Organ meat (e.g., liver, kidney, blood, etc.)",No,
