hhid,round,comment,CSID,CSID_r7,s15q45a,s15q45b,s15q45c,s15q46Ia,s15q46Ib,s15q46Ic,s15q51Ia,s15q51Ib,s15q51Ic,s15q46Ua,s15q46Ub,s15q46Uc,s15q51Ua,s15q51Ub,s15q51Uc,klip_payouts_change_coping,ibli_payouts_change_coping
1003,3,0,Increase non-livestock activities like petty trade,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1003,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1003,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1003,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1003,7,,,No change,,,,,,,,,,,,,,,,,
1003,7,,,Migrate further,,,,,,,,,,,,,,,,,
1003,7,,,Migrate less,,,,,,,,,,,,,,,,,
1003,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1003,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1003,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1003,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1003,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1003,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1003,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1003,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1003,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1003,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1003,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1003,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1003,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1003,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1003,7,,,Other,,,,,,,,,,,,,,,,,
1004,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1004,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1004,3,0,Rely on assistance from others,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1004,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1004,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1004,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
1004,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1004,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1004,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1004,7,,,No change,,,,,,,,,,,,,,,,,Yes
1004,7,,,Migrate further,,,,,,,,,,,,,,,,,No
1004,7,,,Migrate less,,,,,,,,,,,,,,,,,No
1004,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,No
1004,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,No
1004,7,,,Rely more on others,,,,,,,,,,,,,,,,,No
1004,7,,,Rely less on others,,,,,,,,,,,,,,,,,No
1004,7,,,Keep children in school,,,,,,,,,,,,,,,,,No
1004,7,,,Pull children out of school,,,,,,,,,,,,,,,,,No
1004,7,,,Sell more livestock,,,,,,,,,,,,,,,,,No
1004,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,No
1004,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,No
1004,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,No
1004,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,No
1004,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,No
1004,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,No
1004,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,No
1004,7,,,Other,,,,,,,,,,,,,,,,,No
1005,3,0,Reduce the number of meals eaten each day,,Yes,3,,Yes,3,,Yes,1,,,,,,,,,
1005,3,0,Rely more on food aid,,Yes,2,,Yes,2,,Yes,2,,,,,,,,,
1005,3,0,Rely on assistance from others,,No,,,No,,,No,,,,,,,,,,
1005,3,0,"Pull children otherwise in school, out of school",,No,,,No,,,No,,,,,,,,,,
1005,3,0,Sell livestock,,No,,,No,,,No,,,,,,,,,,
1005,3,0,Increase non-livestock activities like petty trade,,Yes,1,,Yes,1,,Yes,3,,,,,,,,,
1005,3,0,Send family members to look for work elsewhere,,No,,,No,,,No,,,,,,,,,,
1005,3,0,Did not do anything different,,No,,,No,,,No,,,,,,,,,,
1005,3,0,Other (Specify if other),,No,,,No,,,No,,,,,,,,,,
1005,7,,,No change,,,,,,,,,,,,,,,,,
1005,7,,,Migrate further,,,,,,,,,,,,,,,,,
1005,7,,,Migrate less,,,,,,,,,,,,,,,,,
1005,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1005,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1005,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1005,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1005,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1005,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1005,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1005,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1005,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1005,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1005,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1005,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1005,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1005,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1005,7,,,Other,,,,,,,,,,,,,,,,,
1006,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,No,,,Yes,3,,,
1006,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,3,,No,,,,
1006,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,Yes,2,,,
1006,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1006,3,0,Sell livestock,,Yes,2,,,,,,,,Yes,1,,No,,,,
1006,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,Yes,2,,Yes,1,,,
1006,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1006,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1006,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1006,7,,,No change,,,,,,,,,,,,,,,,,Yes
1006,7,,,Migrate further,,,,,,,,,,,,,,,,,No
1006,7,,,Migrate less,,,,,,,,,,,,,,,,,No
1006,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,No
1006,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,No
1006,7,,,Rely more on others,,,,,,,,,,,,,,,,,No
1006,7,,,Rely less on others,,,,,,,,,,,,,,,,,No
1006,7,,,Keep children in school,,,,,,,,,,,,,,,,,No
1006,7,,,Pull children out of school,,,,,,,,,,,,,,,,,No
1006,7,,,Sell more livestock,,,,,,,,,,,,,,,,,No
1006,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,No
1006,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,No
1006,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,No
1006,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,No
1006,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,No
1006,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,No
1006,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,No
1006,7,,,Other,,,,,,,,,,,,,,,,,No
1007,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1007,3,0,Rely more on food aid,,Yes,3,,,,,,,,Yes,3,,Yes,2,,,
1007,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1007,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1007,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1007,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
1007,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1007,3,0,Did not do anything different,,Yes,2,,,,,,,,Yes,2,,Yes,3,,,
1007,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1007,7,,,No change,,,,,,,,,,,,,,,,,
1007,7,,,Migrate further,,,,,,,,,,,,,,,,,
1007,7,,,Migrate less,,,,,,,,,,,,,,,,,
1007,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1007,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1007,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1007,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1007,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1007,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1007,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1007,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1007,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1007,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1007,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1007,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1007,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1007,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1007,7,,,Other,,,,,,,,,,,,,,,,,
1008,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1008,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1008,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1008,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1008,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1008,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
1008,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1008,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1008,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1008,7,,,No change,,,,,,,,,,,,,,,,,
1008,7,,,Migrate further,,,,,,,,,,,,,,,,,
1008,7,,,Migrate less,,,,,,,,,,,,,,,,,
1008,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1008,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1008,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1008,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1008,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1008,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1008,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1008,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1008,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1008,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1008,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1008,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1008,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1008,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1008,7,,,Other,,,,,,,,,,,,,,,,,
1009,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,2,,Yes,3,,,
1009,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,2,,,
1009,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1009,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1009,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1009,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,Yes,1,,,
1009,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1009,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,No,,,,
1009,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1009,7,,,No change,,,,,,,,,,,,,,,,,Yes
1009,7,,,Migrate further,,,,,,,,,,,,,,,,,No
1009,7,,,Migrate less,,,,,,,,,,,,,,,,,No
1009,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,No
1009,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,No
1009,7,,,Rely more on others,,,,,,,,,,,,,,,,,No
1009,7,,,Rely less on others,,,,,,,,,,,,,,,,,No
1009,7,,,Keep children in school,,,,,,,,,,,,,,,,,No
1009,7,,,Pull children out of school,,,,,,,,,,,,,,,,,No
1009,7,,,Sell more livestock,,,,,,,,,,,,,,,,,No
1009,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,No
1009,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,No
1009,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,No
1009,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,No
1009,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,No
1009,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,No
1009,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,No
1009,7,,,Other,,,,,,,,,,,,,,,,,No
1010,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1010,3,0,Rely more on food aid,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1010,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1010,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1010,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1010,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
1010,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1010,3,0,Did not do anything different,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1010,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1010,7,,,No change,,,,,,,,,,,,,,,,,
1010,7,,,Migrate further,,,,,,,,,,,,,,,,,
1010,7,,,Migrate less,,,,,,,,,,,,,,,,,
1010,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1010,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1010,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1010,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1010,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1010,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1010,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1010,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1010,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1010,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1010,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1010,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1010,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1010,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1010,7,,,Other,,,,,,,,,,,,,,,,,
1011,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1011,3,0,Rely more on food aid,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1011,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1011,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1011,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1011,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,No,,,,
1011,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1011,3,0,Did not do anything different,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1011,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1011,7,,,No change,,,,,,,,,,,,,,,,,
1011,7,,,Migrate further,,,,,,,,,,,,,,,,,
1011,7,,,Migrate less,,,,,,,,,,,,,,,,,
1011,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1011,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1011,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1011,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1011,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1011,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1011,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1011,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1011,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1011,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1011,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1011,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1011,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1011,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1011,7,,,Other,,,,,,,,,,,,,,,,,
1012,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1012,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1012,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1012,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1012,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1012,3,0,Increase non-livestock activities like petty trade,,No,,,,,,,,,No,,,Yes,3,,,
1012,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1012,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,No,,,,
1012,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1012,7,,,No change,,,,,,,,,,,,,,,,,
1012,7,,,Migrate further,,,,,,,,,,,,,,,,,
1012,7,,,Migrate less,,,,,,,,,,,,,,,,,
1012,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1012,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1012,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1012,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1012,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1012,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1012,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1012,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1012,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1012,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1012,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1012,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1012,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1012,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1012,7,,,Other,,,,,,,,,,,,,,,,,
1013,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1013,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,2,,Yes,2,,,
1013,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1013,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1013,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1013,3,0,Increase non-livestock activities like petty trade,,Yes,2,,,,,,,,Yes,1,,Yes,1,,,
1013,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1013,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1013,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1013,7,,,No change,,,,,,,,,,,,,,,,,
1013,7,,,Migrate further,,,,,,,,,,,,,,,,,
1013,7,,,Migrate less,,,,,,,,,,,,,,,,,
1013,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1013,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1013,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1013,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1013,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1013,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1013,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1013,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1013,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1013,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1013,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1013,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1013,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1013,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1013,7,,,Other,,,,,,,,,,,,,,,,,
1014,3,0,Reduce the number of meals eaten each day,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1014,3,0,Rely more on food aid,,No,,,,,,,,,No,,,No,,,,
1014,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1014,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1014,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1014,3,0,Increase non-livestock activities like petty trade,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1014,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1014,3,0,Did not do anything different,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1014,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1014,7,,,No change,,,,,,,,,,,,,,,,,
1014,7,,,Migrate further,,,,,,,,,,,,,,,,,
1014,7,,,Migrate less,,,,,,,,,,,,,,,,,
1014,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1014,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1014,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1014,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1014,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1014,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1014,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1014,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1014,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1014,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1014,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1014,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1014,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1014,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1014,7,,,Other,,,,,,,,,,,,,,,,,
1015,3,0,Reduce the number of meals eaten each day,,Yes,3,,,,,,,,Yes,3,,Yes,3,,,
1015,3,0,Rely more on food aid,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1015,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1015,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1015,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
1015,3,0,Increase non-livestock activities like petty trade,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1015,3,0,Send family members to look for work elsewhere,,No,,,,,,,,,No,,,No,,,,
1015,3,0,Did not do anything different,,No,,,,,,,,,No,,,No,,,,
1015,3,0,Other (Specify if other),,No,,,,,,,,,No,,,No,,,,
1015,7,,,No change,,,,,,,,,,,,,,,,,
1015,7,,,Migrate further,,,,,,,,,,,,,,,,,
1015,7,,,Migrate less,,,,,,,,,,,,,,,,,
1015,7,,,Buy more food on credit,,,,,,,,,,,,,,,,,
1015,7,,,Buy less food on credit,,,,,,,,,,,,,,,,,
1015,7,,,Rely more on others,,,,,,,,,,,,,,,,,
1015,7,,,Rely less on others,,,,,,,,,,,,,,,,,
1015,7,,,Keep children in school,,,,,,,,,,,,,,,,,
1015,7,,,Pull children out of school,,,,,,,,,,,,,,,,,
1015,7,,,Sell more livestock,,,,,,,,,,,,,,,,,
1015,7,,,Sell fewer livestock,,,,,,,,,,,,,,,,,
1015,7,,,Slaughter more livestock,,,,,,,,,,,,,,,,,
1015,7,,,Slaughter less livestock,,,,,,,,,,,,,,,,,
1015,7,,,Buy more forage or water,,,,,,,,,,,,,,,,,
1015,7,,,Buy less forage or water,,,,,,,,,,,,,,,,,
1015,7,,,Buy more veterinary services,,,,,,,,,,,,,,,,,
1015,7,,,Buy less veterinary services,,,,,,,,,,,,,,,,,
1015,7,,,Other,,,,,,,,,,,,,,,,,
1016,3,0,Reduce the number of meals eaten each day,,Yes,2,,,,,,,,Yes,2,,Yes,2,,,
1016,3,0,Rely more on food aid,,Yes,1,,,,,,,,Yes,1,,Yes,1,,,
1016,3,0,Rely on assistance from others,,No,,,,,,,,,No,,,No,,,,
1016,3,0,"Pull children otherwise in school, out of school",,No,,,,,,,,,No,,,No,,,,
1016,3,0,Sell livestock,,No,,,,,,,,,No,,,No,,,,
