hhid,round,memberid,comment,skip_s3_new,skip_s3_old,hv_s3q24,s3q1,s3q2,s3q3,s3q3b,s3q4,s3q5,s3q6,s3q6b,s3q7,s3q7a,s3q7b,s3q8,s3q8b,s3q9a,s3q9b,s3q10,s3q11,s3q12,s3q12b,s3q13,s3q14,s3q14a,s3q14a1,s3q14b,s3q15,s3q16,s3q17,s3q17b,s3q18,s3q19,s3q19b,s3q20,s3q21,s3q22,s3q22b,s3q23,s3q24
1002,7,1,,,,,,,,,,,Standard 8,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,2,,,,,,,,,,,Certificate,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,3,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,4,,,,,,,,,,,Form 4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,5,,,,,,,,,,,Form 4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,6,,,,,,,,,,,Form 4,,Yes,Yes,70000,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,7,7,,,,,,,,,,,Standard 8,,Yes,Yes,15000,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1,1,,0,,,Yes,Yes,,,Government,8,Form 2,,No,,,cannot afford,,15,,,,,,,,,,,,,,,,,,,,,,,
1003,1,2,,0,,,No,Yes,,,Government,7,Standard 4,,No,,,not necessary/no point,,17,,,,,,,,,,,,,,,,,,,,,,,
1003,1,3,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1,4,,0,,,No,Yes,,,Government,6,Standard 1,,Yes,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,
1003,2,1,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1003,2,2,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1003,2,3,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,no,,,,,,,,
1003,2,4,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,yes,no,,,,Government,,yes,no,,,,
1003,3,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1003,3,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1003,3,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1003,3,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1003,4,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1003,4,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1003,4,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1003,4,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1003,4,5,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,5,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1003,5,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1003,5,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1003,5,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1003,5,5,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,no,,,,no,,.,,,,,,
1003,6,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,no,Yes,Yes,Standard/Grade 4,no,,,,no,,.,,,,,,
1003,6,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 5,yes,no,,,,Private - other,.,no,yes,illness of [Name],,2,
1003,6,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1003,7,1,,,,,,,,,,,Standard 8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,7,2,,,,,,,,,,,Standard 8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,7,3,,,,,,,,,,,Standard 8,,Yes,Yes,16000,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,7,4,,,,,,,,,,,Nursery,,Yes,Yes,800,,,,,,,,,,,,,,,,,,,,,,,,,,0
1004,1,1,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,1,2,,0,,,Yes,Yes,,,Government,7,Diploma,,No,,,completed,,10,,,,,,,,,,,,,,,,,,,,,,,
1004,1,3,,0,,,Yes,Yes,,,Government,7,Diploma,,No,,,completed,,2,,,,,,,,,,,,,,,,,,,,,,,
1004,1,4,,0,,,Yes,Yes,,,Government,6,Standard 6,,Yes,,,,,,,Yes,Yes,illness of [Name],,2,,,,,,,,,,,,,,,,,
1004,1,5,,0,,,No,Yes,,,Government,5,Standard 2,,Yes,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,
1004,1,6,,1,,,.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,1,7,,1,,,.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2,1,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,no,,,,,,,,
1004,2,2,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1004,2,3,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1004,2,4,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1004,2,5,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1004,2,6,,1,1,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,yes,Nursery,,no,no,,,,
1004,2,7,,1,1,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,no,,,,,,,,
1004,3,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1004,3,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,3,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,3,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1004,3,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Private - other,,yes,no,,,,yes
1004,3,6,0,1,1,student/attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,3,7,0,1,1,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,3,8,0,0,1,unknown,No,No,no school present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,4,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1004,4,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,4,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,4,4,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,yes,completed,,no,,,,,,,,yes
1004,4,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Private - other,,no,no,,,,yes
1004,4,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Private - other,,no,no,,,,yes
1004,4,7,0,1,1,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,4,8,0,1,1,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,5,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1004,5,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,5,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1004,5,4,0,1,1,student/attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,5,5,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Private - other,,no,no,,,,yes
1004,5,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Private - other,,no,no,,,,yes
1004,5,7,0,1,1,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,no,No,No,,,,,,,,.,,,,,,
1004,6,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Diploma,no,,,,no,,.,,,,,,
1004,6,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Form 4,no,,,,no,,.,,,,,,
1004,6,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,yes,no,,,,Private - other,.,yes,no,,,,
1004,6,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 6,yes,no,,,,Private - other,.,yes,no,,,,
1004,6,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 3,yes,no,,,,Private - other,.,yes,no,,,,
1004,6,8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1004,7,1,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,2,,,,,,,,,,,Degree,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,3,,,,,,,,,,,I do not know,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,4,,,,,,,,,,,Form 4,,Yes,I dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,5,,,,,,,,,,,Form 2,,Yes,Yes,35000,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,6,,,,,,,,,,,Standard 6,,Yes,Yes,-99,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,7,,,,,,,,,,,Nursery,,Yes,I dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1005,1,1,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,1,2,,0,,,Yes,Yes,,,Government,7,Standard 6,,No,,,not necessary/no point,,9,,,,,,,,,,,,,,,,,,,,,,,
1005,1,3,,0,,,Yes,Yes,,,Government,6,Standard 8,,No,,,completed,,8,,,,,,,,,,,,,,,,,,,,,,,
1005,1,4,,0,,,Yes,Yes,,,Government,7,Standard 6,,No,,,Other (specify),DROP OUT,5,,,,,,,,,,,,,,,,,,,,,,,
1005,1,5,,0,,,Yes,Yes,,,Government,6,Standard 8,,No,,,completed,,3,,,,,,,,,,,,,,,,,,,,,,,
1005,1,6,,0,,,Yes,Yes,,,Government,7,Form 1,,Yes,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,
1005,1,7,,0,,,Yes,Yes,,,Government,6,Standard 7,,Yes,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,
1005,2,1,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,no,,,,,,,,
1005,2,2,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1005,2,3,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1005,2,4,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1005,2,5,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1005,2,6,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,no,no,,,,
1005,2,7,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,yes,no,,,,
1005,3,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1005,3,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,3,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,3,4,1,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,3,5,1,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,3,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,no,,,,yes
1005,3,7,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1005,4,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1005,4,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,4,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,4,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,yes,Pregnancy,,no,,,,,,,,yes
1005,4,7,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1005,4,8,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,4,9,0,0,1,unknown,Yes,Yes,,,Government,9,Standard 8,,No,,,cannot afford,,3,0,,,,,,,,,,,,,,,,,,,,,,
1005,5,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1005,5,2,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,5,3,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,,,,no,,,,,,,,yes
1005,5,6,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1005,5,7,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,yes,no,,,,yes
1005,5,8,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,5,9,0,1,0,unknown,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,no,,,,,,,,
1005,5,10,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,5,11,0,0,1,unknown,No,No,not necessary/no point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,no,No,No,,,,,,,,.,,,,,,
1005,6,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,no,,,,no,,.,,,,,,
1005,6,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Form 4,no,,,,no,,.,,,,,,
1005,6,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Form 4,yes,no,,,,Government,.,yes,no,,,,
1005,6,8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1005,6,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 8,no,,,,no,,.,,,,,,
1005,6,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,.,,,,,,
1005,6,11,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1005,7,1,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,2,,,,,,,,,,,Standard 8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,3,,,,,,,,,,,Standard 8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,4,,,,,,,,,,,Standard 2,,Yes,Yes,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,5,,,,,,,,,,,Standard 2,,Yes,Yes,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,6,,,,,,,,,,,Standard 1,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1006,1,1,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,1,2,,0,,,Yes,Yes,,,Government,6,Form 1,,Yes,,,,,,,Yes,Yes,illness of [Name],,10,,,,,,,,,,,,,,,,,
1006,1,3,,0,,,No,Yes,,,Government,6,Nursery,,Yes,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,
1006,2,1,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,no,,,,,,,,
1006,2,2,,1,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,no,,,,Government,,no,no,,,,
1006,2,3,,1,0,,,,,,,,,,,,,,,,,,,,,,no,,,,yes,no,,,,Government,,yes,no,,,,
1006,3,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1006,3,2,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,no,,,,yes
1006,3,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,no,,,,yes
1006,4,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1006,4,2,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,yes,teacher absent,,15,yes
1006,4,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,no,,,,Government,,yes,yes,teacher absent,,15,yes
1006,4,4,0,0,1,unknown,No,No,not necessary/no point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,5,1,0,1,0,not a student/not attending school,,,,,,,,,,,,,,,,,,,,,no,,,,.b,,,,no,,,,,,,,yes
1006,5,2,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,yes,completed,,no,,,,,,,,yes
1006,5,3,0,1,0,student/attending school,,,,,,,,,,,,,,,,,,,,,yes,,,,.b,no,,,,Government,,no,no,,,,yes
1006,5,4,0,1,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,5,5,0,0,1,unknown,No,No,cannot afford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,no,No,No,,,,,,,,.,,,,,,
1006,6,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1006,6,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,yes,Yes,Yes,Standard/Grade 4,yes,no,,,,Private - other,.,no,no,,,,
1006,6,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
1006,7,1,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,7,2,,,,,,,,,,,Form 4,,Yes,Yes,6500,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,1,1,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,1,2,,0,,,Yes,Yes,,,Government,6,Form 3,,No,,,Other (specify),DRUGS,,18,,,,,,,,,,,,,,,,,,,,,,
1007,1,3,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,1,4,,0,,,Yes,Yes,,,Government,7,Standard 8,,No,,,completed,,,17,,,,,,,,,,,,,,,,,,,,,,
1007,1,5,,0,,,Yes,Yes,,,Government,7,Standard 7,,No,,,domestic duties,,,15,,,,,,,,,,,,,,,,,,,,,,
1007,1,6,,0,,,Yes,Yes,,,Government,6,Standard 8,,No,,,completed,,,9,,,,,,,,,,,,,,,,,,,,,,
1007,1,7,,0,,,No,No,domestic duties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
