hhid,round,comment,Ind_ID,Ind_ID_r7,s15q47c,s15q47g,s15q47h,s15q47i,s15q47k,Ind_ID_r7a,s15q47l,Ind_ID_r7b,s15q53aI,s15q53bI,s15q53b2,s15q53cU,s15q53c2
1009,3,0,Share with others,,,,,,,,,,,,,0,
1009,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1009,3,0,Other (specify if other),,,,,,,,,,,,,0,
1009,4,0,Purchase food,,0,,,,,,,,,,,,
1009,4,0,Education costs,,6000,,,,,,,,,,,,
1009,4,0,Purchase livestock,,0,,,,,,,,,,,,
1009,4,0,Production or operating costs,,0,,,,,,,,,,,,
1009,4,0,Health care expenses,,0,,,,,,,,,,,,
1009,4,0,Social obligations,,0,,,,,,,,,,,,
1009,4,0,Save,,0,,,,,,,,,,,,
1009,4,0,Share with others,,0,,,,,,,,,,,,
1009,4,0,Purchase Livestock Insurance (IBLI),,1000,,,,,,,,,,,,
1009,4,0,Other (specify if other),,0,,,,,,,,,,,,
1009,6,0,Purchase food,,,,,,,,,,,,,,
1009,6,0,Education costs,,,,,,,,,,,,,,
1009,6,0,Purchase livestock,,,,,,,,,,,,,,
1009,6,0,Production or operating costs,,,,,,,,,,,,,,
1009,6,0,Health care expenses,,,,,,,,,,,,,,
1009,6,0,Social obligations,,,,,,,,,,,,,,
1009,6,0,Save,,,,,,,,,,,,,,
1009,6,0,Share with others,,,,,,,,,,,,,,
1009,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1009,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1009,6,0,Other (specify if other),,,,,,,,,,,,,,
1009,7,,,Other (specify),,,,,,,No,,,,,,
1009,7,,,Food for humans,,,,,,,No,,,,,,
1009,7,,,Water for humans,,,,,,,No,,,,,,
1009,7,,,Health services for humans,,,,,,,No,,,,,,
1009,7,,,Education/school fees,,,,,,,No,,,,,,
1009,7,,,Pay back debt,,,,,,,No,,,,,,
1009,7,,,Save,,,,,,,No,,,,,,
1009,7,,,Livestock purchases,,,,,,,Yes,,,,,,
1009,7,,,Livestock inputs: water,,,,,,,No,,,,,,
1009,7,,,Livestock inputs: forrage or fodder,,,,,,,No,,,,,,
1009,7,,,Livestock inputs: Vaccinate / vetrinary services,,,,,,,No,,,,,,
1009,7,,,Hiring labor for herding,,,,,,,No,,,,,,
1009,7,,,Livestock trucking\trekking\transportation,,,,,,,No,,,,,,
1009,7,,,Gave to others/ share,,,,,,,No,,,,,,
1009,7,,,"Ceremonies (e.g., weddings, funerals, religious events)",,,,,,,No,,,,,,
1010,3,0,Purchase food,,,,,,,,,,,,,0,
1010,3,0,Education costs,,,,,,,,,,,,,0,
1010,3,0,Purchase livestock,,,,,,,,,,,,,3000,
1010,3,0,Production or operating costs,,,,,,,,,,,,,0,
1010,3,0,Health care expenses,,,,,,,,,,,,,0,
1010,3,0,Social obligations,,,,,,,,,,,,,0,
1010,3,0,Save,,,,,,,,,,,,,0,
1010,3,0,Share with others,,,,,,,,,,,,,0,
1010,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1010,3,0,Other (specify if other),,,,,,,,,,,,,0,
1010,6,0,Purchase food,,,,,,,,,,,,,,
1010,6,0,Education costs,,,,,,,,,,,,,,
1010,6,0,Purchase livestock,,,,,,,,,,,,,,
1010,6,0,Production or operating costs,,,,,,,,,,,,,,
1010,6,0,Health care expenses,,,,,,,,,,,,,,
1010,6,0,Social obligations,,,,,,,,,,,,,,
1010,6,0,Save,,,,,,,,,,,,,,
1010,6,0,Share with others,,,,,,,,,,,,,,
1010,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1010,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1010,6,0,Other (specify if other),,,,,,,,,,,,,,
1011,3,0,Purchase food,,,,,,,,,,,,,1000,
1011,3,0,Education costs,,,,,,,,,,,,,0,
1011,3,0,Purchase livestock,,,,,,,,,,,,,0,
1011,3,0,Production or operating costs,,,,,,,,,,,,,0,
1011,3,0,Health care expenses,,,,,,,,,,,,,0,
1011,3,0,Social obligations,,,,,,,,,,,,,0,
1011,3,0,Save,,,,,,,,,,,,,1000,
1011,3,0,Share with others,,,,,,,,,,,,,0,
1011,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,1000,
1011,3,0,Other (specify if other),,,,,,,,,,,,,0,
1011,6,0,Purchase food,,,,,,,,,,,,,,
1011,6,0,Education costs,,,,,,,,,,,,,,
1011,6,0,Purchase livestock,,,,,,,,,,,,,,
1011,6,0,Production or operating costs,,,,,,,,,,,,,,
1011,6,0,Health care expenses,,,,,,,,,,,,,,
1011,6,0,Social obligations,,,,,,,,,,,,,,
1011,6,0,Save,,,,,,,,,,,,,,
1011,6,0,Share with others,,,,,,,,,,,,,,
1011,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1011,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1011,6,0,Other (specify if other),,,,,,,,,,,,,,
1012,3,0,Purchase food,,,,,,,,,,,,,1500,
1012,3,0,Education costs,,,,,,,,,,,,,0,
1012,3,0,Purchase livestock,,,,,,,,,,,,,1500,
1012,3,0,Production or operating costs,,,,,,,,,,,,,0,
1012,3,0,Health care expenses,,,,,,,,,,,,,0,
1012,3,0,Social obligations,,,,,,,,,,,,,0,
1012,3,0,Save,,,,,,,,,,,,,0,
1012,3,0,Share with others,,,,,,,,,,,,,0,
1012,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1012,3,0,Other (specify if other),,,,,,,,,,,,,0,
1012,6,0,Purchase food,,,,,,,,,,,,,,
1012,6,0,Education costs,,,,,,,,,,,,,,
1012,6,0,Purchase livestock,,,,,,,,,,,,,,
1012,6,0,Production or operating costs,,,,,,,,,,,,,,
1012,6,0,Health care expenses,,,,,,,,,,,,,,
1012,6,0,Social obligations,,,,,,,,,,,,,,
1012,6,0,Save,,,,,,,,,,,,,,
1012,6,0,Share with others,,,,,,,,,,,,,,
1012,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1012,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1012,6,0,Other (specify if other),,,,,,,,,,,,,,
1013,3,0,Purchase food,,,,,,,,,,,,,0,
1013,3,0,Education costs,,,,,,,,,,,,,0,
1013,3,0,Purchase livestock,,,,,,,,,,,,,0,
1013,3,0,Production or operating costs,,,,,,,,,,,,,3000,
1013,3,0,Health care expenses,,,,,,,,,,,,,0,
1013,3,0,Social obligations,,,,,,,,,,,,,0,
1013,3,0,Save,,,,,,,,,,,,,0,
1013,3,0,Share with others,,,,,,,,,,,,,0,
1013,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1013,3,0,Other (specify if other),,,,,,,,,,,,,0,
1013,6,0,Purchase food,,,,,,,,,,,,,,
1013,6,0,Education costs,,,,,,,,,,,,,,
1013,6,0,Purchase livestock,,,,,,,,,,,,,,
1013,6,0,Production or operating costs,,,,,,,,,,,,,,
1013,6,0,Health care expenses,,,,,,,,,,,,,,
1013,6,0,Social obligations,,,,,,,,,,,,,,
1013,6,0,Save,,,,,,,,,,,,,,
1013,6,0,Share with others,,,,,,,,,,,,,,
1013,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1013,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1013,6,0,Other (specify if other),,,,,,,,,,,,,,
1014,3,0,Purchase food,,,,,,,,,,,,,2000,
1014,3,0,Education costs,,,,,,,,,,,,,0,
1014,3,0,Purchase livestock,,,,,,,,,,,,,0,
1014,3,0,Production or operating costs,,,,,,,,,,,,,1000,
1014,3,0,Health care expenses,,,,,,,,,,,,,0,
1014,3,0,Social obligations,,,,,,,,,,,,,0,
1014,3,0,Save,,,,,,,,,,,,,0,
1014,3,0,Share with others,,,,,,,,,,,,,0,
1014,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1014,3,0,Other (specify if other),,,,,,,,,,,,,0,
1014,6,0,Purchase food,,,,,,,,,,,,,,
1014,6,0,Education costs,,,,,,,,,,,,,,
1014,6,0,Purchase livestock,,,,,,,,,,,,,,
1014,6,0,Production or operating costs,,,,,,,,,,,,,,
1014,6,0,Health care expenses,,,,,,,,,,,,,,
1014,6,0,Social obligations,,,,,,,,,,,,,,
1014,6,0,Save,,,,,,,,,,,,,,
1014,6,0,Share with others,,,,,,,,,,,,,,
1014,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1014,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1014,6,0,Other (specify if other),,,,,,,,,,,,,,
1015,3,0,Purchase food,,,,,,,,,,,,,0,
1015,3,0,Education costs,,,,,,,,,,,,,0,
1015,3,0,Purchase livestock,,,,,,,,,,,,,0,
1015,3,0,Production or operating costs,,,,,,,,,,,,,0,
1015,3,0,Health care expenses,,,,,,,,,,,,,0,
1015,3,0,Social obligations,,,,,,,,,,,,,0,
1015,3,0,Save,,,,,,,,,,,,,3000,
1015,3,0,Share with others,,,,,,,,,,,,,0,
1015,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1015,3,0,Other (specify if other),,,,,,,,,,,,,0,
1015,6,0,Purchase food,,,,,,,,,,,,,,
1015,6,0,Education costs,,,,,,,,,,,,,,
1015,6,0,Purchase livestock,,,,,,,,,,,,,,
1015,6,0,Production or operating costs,,,,,,,,,,,,,,
1015,6,0,Health care expenses,,,,,,,,,,,,,,
1015,6,0,Social obligations,,,,,,,,,,,,,,
1015,6,0,Save,,,,,,,,,,,,,,
1015,6,0,Share with others,,,,,,,,,,,,,,
1015,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1015,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1015,6,0,Other (specify if other),,,,,,,,,,,,,,
1016,3,0,Purchase food,,,,,,,,,,,,,1000,
1016,3,0,Education costs,,,,,,,,,,,,,1000,
1016,3,0,Purchase livestock,,,,,,,,,,,,,0,
1016,3,0,Production or operating costs,,,,,,,,,,,,,0,
1016,3,0,Health care expenses,,,,,,,,,,,,,0,
1016,3,0,Social obligations,,,,,,,,,,,,,0,
1016,3,0,Save,,,,,,,,,,,,,1000,
1016,3,0,Share with others,,,,,,,,,,,,,0,
1016,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1016,3,0,Other (specify if other),,,,,,,,,,,,,0,
1016,6,0,Purchase food,,,,,,,,,,,,,,
1016,6,0,Education costs,,,,,,,,,,,,,,
1016,6,0,Purchase livestock,,,,,,,,,,,,,,
1016,6,0,Production or operating costs,,,,,,,,,,,,,,
1016,6,0,Health care expenses,,,,,,,,,,,,,,
1016,6,0,Social obligations,,,,,,,,,,,,,,
1016,6,0,Save,,,,,,,,,,,,,,
1016,6,0,Share with others,,,,,,,,,,,,,,
1016,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1016,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1016,6,0,Other (specify if other),,,,,,,,,,,,,,
1017,3,0,Purchase food,,,,,,,,,,,,,2000,
1017,3,0,Education costs,,,,,,,,,,,,,1000,
1017,3,0,Purchase livestock,,,,,,,,,,,,,0,
1017,3,0,Production or operating costs,,,,,,,,,,,,,0,
1017,3,0,Health care expenses,,,,,,,,,,,,,0,
1017,3,0,Social obligations,,,,,,,,,,,,,0,
1017,3,0,Save,,,,,,,,,,,,,0,
1017,3,0,Share with others,,,,,,,,,,,,,0,
1017,3,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,0,
1017,3,0,Other (specify if other),,,,,,,,,,,,,0,
1017,6,0,Purchase food,,,,,,,,,,,,,,
1017,6,0,Education costs,,,,,,,,,,,,,,
1017,6,0,Purchase livestock,,,,,,,,,,,,,,
1017,6,0,Production or operating costs,,,,,,,,,,,,,,
1017,6,0,Health care expenses,,,,,,,,,,,,,,
1017,6,0,Social obligations,,,,,,,,,,,,,,
1017,6,0,Save,,,,,,,,,,,,,,
1017,6,0,Share with others,,,,,,,,,,,,,,
1017,6,0,Purchase Livestock Insurance (IBLI),,,,,,,,,,,,,,
1017,6,0,Purchase fodder for livestock,,,,,,,,,,,,,,
1017,6,0,Other (specify if other),,,,,,,,,,,,,,
1018,3,0,Purchase food,,,,,,,,,,4500,0,,,
1018,3,0,Education costs,,,,,,,,,,10000,0,,,
